"id","description","allocation","agency_id","ministry_id","date_commissioned","location_type","location_id","status_id","type_id","user_id"
5187,"SUPPORTING POVERTY ERADICATION THROUGH ECONOMIC EMPOWERMENT PROJECTS AND SKILL ACQUISITION IN GURARA/SULEJA/TAFA FEDERAL CONSTITUENCY, NIGER STATE",300000000,29,254,2015-01-01,localGovernment,1,1,2,1
5188,BLOCK OF THREE CLASSROOMS AND LIBRARY WITH FURNITURE AT TONGO FUNAKAYE GOMBE STATE,30000000,30,204,,localGovernment,275,1,2,1
5189,"""PROVISION OF ENVIRONMENTAL AWARENESS CAMPAIGN AND TRAINING MODEL AT IDEMILI NORTH AND SOUTH
LGA, ANAMBRA STATE.""","50,000,000",11,393,2019-06-01,localGovernment,80,2,2,1
5190,SUPPLY OF BUS SHELTERS IN 10 TOWNS IN ANAMBRA CENTRAL SENATORIAL DISTRICT,20000000,17,378,2015-01-01,localGovernment,770,1,2,1
5191,"PROCUREMENT OF HEAVY DUTY GRADER (USED GRADER A) FOR ROAD REHABILITATION IN ADO-ODO/OTA FEDERAL CONSTITUENCY, OGUN STATE.",40000000,29,254,2017-01-01,localGovernment,550,5,2,1
5192,"SUPPLY OF TRICYCLE, GRINDING MACHINE AND MOTORCYCLES FOR YOUTHS AND WOMEN EMPOWERMENT IN IFELODUN/OFFA/OYUN FEDERAL
CONSTITUENCY KWARA STATE",40000000,14,234,1/1/2018,localGovernment,479,5,2,1
5193,"""SUPPLY OF - (A) ALUMINIUM CUTTER/MILLING MACHINES, MEASURING TAPES, SETS OF SPANNERS & SCREW DRIVERS; (B) GSM NETWORK STATIONS, BOOST STATIONS, SCREW DRIVERS, LEAD SUCKERS, SOLDERING IRON, MULTI TESTERS, MAGNIFYING GLASS, AND ELECTRIC BLOWERS; Â© EQUIPMENT AND CHEMICAL FOR TRAINEES ON COSMETOLOGY; (D) MEDICAL OUTREACH PROGRAMME IN ETSAKO FEDERAL CONSTITUENCY, EDO STATE""",80000000,29,35,2018-01-01,localGovernment,234,5,2,1
5194,"COMPLETION AND FURNISHING OF COMMUNITY/CIVIC CENTRES IN AMA NA OGU ORSU LGA, IMO STATE (AIRBDA
2018 ZIP1926)",40000000,28,232,01/06/2019,localGovernment,299,2,2,1
5195,"TRAINING AND EMPOWERMENT OF YOUTHS IN UYO AKWA IBOM NORTH-EAST SENATORIAL DISTRICT, AKWA IBOM STATE.",30000000,35,35,2017-01-01,localGovernment,70,1,2,1
5196,"STRATEGIC EMPOWERMENT PROGRAMME  IN JAMA'ARE/ITAS- GADAU ,BAUCHI STATE","39,600,000",3,2,2016-01-01,localGovernment,101,1,2,1
5197,"FORTY NINE (49) BARBING TRAINING WITH STARTER PACK FOR IKENNE/SAGAMU/REMO NORTH FED. CONST., OGUN STATE.",2888060,3,122,2017-01-01,localGovernment,567,5,2,1
5198,INSTALLATION OF HANDPUMP BOREHOLES IN ETHIOPE FEDERAL CONSTITUENCY IN ETHIOPE FEDERAL CONSTITUENCY OF DELTA STATE.,20000000,18,45,2017-01-01,localGovernment,200,1,2,1
5199,"TRAINING OF IDPs ON HUMAN RIGHTS PROMOTION AR ARDO KOLA/LAU FEDERAL CONSTITUENCY, TARABA STATE",29166667,16,219,2016-01-01,localGovernment,713,6,2,1
5200,CONSTRUCTION OF SOLAR STREET LIGHT IN SELECTED AREAS OF GOMBE NORTH SENATORIAL DISTRICT,60000000,23,247,2015-01-01,localGovernment,276,1,2,1
5201,"CONSTRUCTION OF BOREHOLES IN ASA
LG, KWARA STATE",20000000,29,244,6/1/2019,localGovernment,489,2,2,1
5202,"SUPPLY OF FARMING INPUTS AND FERTILIZER IN GWARAM FED
CONSTITUENCY, JIGAWA STATE",40000000,5,230,6/1/2019,localGovernment,315,5,2,1
5203,"INFORMATION TECHNOLOGY (ICT) TRAINING FOR YOUTHS AT LOKOJA/KOGI FEDERAL CONSTITUENCY, KOGI STATE",30000000,31,69,,localGovernment,465,1,2,1
5204,ADVOCACY MEETING ON MEN AND WOMEN AND YOUTH DEVELOPMENT AWARENESS IN ENUGU STATE,50000000,18,45,6/1/2019,localGovernment,780,5,2,1
5205,"CONSTRUCTION AND FURNISHING OF 3NO.TWO CLASSROOM BLOCKS IN CHIKUN LGA, KADUNA STATE",57000000,31,69,2017-01-01,localGovernment,332,1,2,1
5206,"PROVISION OF POULTRY FARMING EMPOWERMENT ITEMS TO YOUTH & WOMEN IN ASKIRA-UBA / HAWUL LGAs,
BORNO STATE.",15000000,29,254,1/1/2018,localGovernment,153,5,2,1
5207,"SUPPLY OF 4 UNITS 15 SEATER BUS, ABI/YAKURR FEDERAL CONSTITUENCY, CROSS RIVER STATE",48000000,3,2,2016/01/01,localGovernment,173,2,2,1
5208,"SENSITIZATION ON INTERFAITH RELATIONSHIP IN KALTUNGO L.G.A AT KALTUNGO/SHONGOM FEDERAL CONSTITUENCY, GOMBE STATE",40000000,13,180,2017-01-01,localGovernment,1,5,2,1
5209,"RENOVATION OF UMUEZE CIVIC CENTRE AND ORIE OGWUAMA MARKET AHIAZU MBAISE, IMO STATE",20000000,23,267,2017-01-01,localGovernment,280,5,2,1
5210,"CONSTRUCTION OF SPILL WAY WATER CONSERVATION STRUCTURE AT BULULU CONFLUENCE, JAKUSKO LGA, YOBE STATE.",60317430,28,244,2015-01-01,localGovernment,737,1,2,1
5211,"FLOOD/EROSION CONTROL WORK, YALA/NKUM ROAD, IKOMLGA, CROSS RIVER STATE",60000000,28,231,2016/01/01,localGovernment,174,1,2,1
5212,"DRILLING OF BOREHOLES @ ASKIRA-UBA LGA & HAWUL LGA, BORNO STATE",30000000,28,1,,localGovernment,143,1,1,1
5213,FREE MEDICAL OUTREACH PROGRAMME FOR TARKA LGA. (GBOKO/TARKA FED.CONST. BENUE STATE,33000000,4,324,2017-01-01,localGovernment,138,1,2,1
5214,"TRAINING OF RURAL FARMERS IN PLANTATION OF RICE IN BAKURA/MARADUN FED CONSTITUENCY, ZAMFARA STATE",40000000,18,45,1/1/2018,localGovernment,755,5,2,1
5215,"PROVISION OF SPORTS KITS TO YOUTH CLUBS AND TRAINING OF SPORTS OFFICIALS IN NIGER NORTH SENATORIAL DISTRICT, NIGER STATE",10000000,5,243,,localGovernment,523,1,2,1
5216,"CONSTRUCTION OF PRIMARY HEALTHCARE CLINIC IN THE FOLLOWING LOCATION: KUVOH, NASARAWA LGA,  EDEGE- MBEKI, NASARAWA LGA,  GITATA, KARU LGA HADARI, KOKONA LGA IN NASARAWA WEST SENATORIAL DISTRICT, NASARAWA STATE. @ 21,800,000 EACH.",87200000,4,245,2015-01-01,localGovernment,518,1,2,1
5217,"RECONSTRUCTION OF THE DAMAGED AKO- OWODE MARKET, AKO-MATOOLE, AGO- IWOYE IN IJEBU-NORTH LGA, OGUN STATE",10000000,23,374,2018-01-01,localGovernment,556,5,2,1
5218,CONSTRUCTION OF HANDPUMPS BOREHOLE IN GWARZO/KABO FED CONST KANO STATE,20000000,28,236,2015-01-01,localGovernment,373,1,2,1
5219,"DRILLING OF  TWO BOREHOLES AND OVERHEAD TANKS IN MAIYAMA LGA,
KEBBI STATE",20000000,3,2,6/1/2019,localGovernment,446,5,2,1
5220,"CONSTRUCTION & FURNISHING OF COMMUNITY HALL IN IWUKEM COMMUNITY, ETIM EKPO LGA, AKWA IBOM STATE","56,500,000",5,389,2019-06-01,localGovernment,45,5,2,1
5221,TRAINING AND EMPOWERMENT OF YOUTHS AND WOMEN IN IBADAN NORTH EAST AND SOUTH EAST FED. CONSTITUENCY,25000000,3,122,2015-01-01,localGovernment,626,1,2,1
5222,"PROVISION OF PUPILS DESK AND CHAIRS TO SCHOOLS IN OGBOLOMABIRI, OKOROMA CLAN BASSAMBIRI, OLUASIRI IBE IN NEMBE LGA, BAYELSA STATE",46000000,10,338,2017-01-01,localGovernment,111,1,2,1
5223,"MAINTENANCE/REPAIRS OF EXISTING SOLAR STREET LIGHTS IN DOGUWA/TUDUN WADA FEDERAL CONSTUTUENCY, KANO STATE",50000000,23,247,1/1/2018,localGovernment,395,5,2,1
5224,"CONSTRUCTION OF KNOWLEDGE & INNOVATION (HUB) CENTER IN GSS
KWADON, YAMALTU/DEBA GOMBE STATE",25000000,23,36,1/1/2018,localGovernment,278,5,2,1
5225,"CONSTRUCTION OF PAVILION AT UMUONA NNOBI IDEMILI SOUTH LGA, ANAMBRA CENTRAL SENATORIAL DISTRICT",15000000,28,232,1/1/2018,localGovernment,81,5,2,1
5226,"SUPPLY OF CHAIRS & DESK TO PRIMARY & SECONDARY SCHOOLS IN AKWANGA, WAMBA AND NASARAWA EGGON LGAâ€™S NASARAWA NORTH FED. CONSTITUENCY, NASARAWA STATE",100000000,23,229,,localGovernment,510,1,2,1
5227,PROVISION OF GRANT TO YOUTH/WOMEN IN WUDIL/GARKO FED CONST KANO STATE,13616883,3,122,2017-01-01,localGovernment,398,1,2,1
5228,"HCT AND FREE MEDICAL MISSION IN NKWERRE/ISU/NWANGELE/NJABA FEDERAL
CONSTITUENCY, IMO STATE",30000000,4,382,1/1/2018,localGovernment,291,5,2,1
5229,"YOUTH EMPOWERMENT PROGRAMME (PROVISION OF MOTOR CYCLE) IN KAMBA/DANDI LGA,KEBBI STATE",40000000,29,244,2017-01-01,localGovernment,440,5,2,1
5230,"PROVISION OF 500 KVA TRANSFORMER AT THE ORSUMOGHU, IHIALA LGA, ANAMBRA STATE",5000000,28,275,2015-01-01,localGovernment,82,1,2,1
5231,"FURNISHING & FENCING OF SKILL ACQUISITION CENTRE AT HOSPITAL ROAD OBANGEDE-OKEHI L.G.A. KOGI
STATE",20000000,18,45,6/1/2019,localGovernment,469,2,2,1
5232,"PROVISION OF SEWING AND GRINDING MACHINES FOR EMPOWERMENT OF WOMEN IN ALIERO/JEGA/GWANDU FED. CONSTITUENCY, KEBBI STATE",65000000,29,35,6/1/2019,localGovernment,433,5,2,1
5233,"GRANTS FOR SMALL SCALE BUSINESS FOR
YOUTHS IN OJO FEDERAL CONSTITUENCY, LAGOS STATE",54666000,2,122,6/1/2019,localGovernment,506,5,2,1
5234,"TRAINING AND EMPOWERMENT OF YOUTHS ON AGRICULTURE IN ANKPA AND OLAMABORO LGAs OF KOGI EAST SENATORIAL DISTRICT, KOGI STATE.",50000000,23,267,6/1/2019,localGovernment,471,5,2,1
5235,"SUPPLY OF 1 NO. TRICYCLE AMBULANCE @ =N= 4,784,607.5 EACH IN ENUGU NORTH SENATORIAL DISTRICT, ENUGU STATE",4784608,35,316,2017-01-01,localGovernment,254,1,2,1
5236,"HIV/MALARIA/TUBERCULOSIS AWARENESS CAMPAIGN AND MEDICAL OUTREACH AT IBADAN NORTH FEDERAL CONSTITUENCY, IBADAN NORTH LOCAL GOVERNMENT, OYO STATE.",20000000,4,329,01/01/2018,localGovernment,624,5,2,1
5237,"PROVISION OF 181 NOS. MOTORCYCLE  IN EKITI SOUTH FEDERAL CONSTITIUENCY II, GBONYIN/EMURE/EKITI EAST LGA, EKITI STATE:",5748000,3,2,2017-01-01,localGovernment,248,1,2,1
5238,"CONSTRUCTION OF PERIMETER FENCING, LANDSCAPING AND BOREHOLE AT KARU TOWN HALL, FCT
SENATORIAL DISTRICT",50000000,28,311,6/1/2019,localGovernment,764,2,2,1
5239,"TRAINING AND YOUTH EMPOWERMENT ON SPECIALISED AGRO- FORESTRY ENTERPRISES IN EKITI NORTH SENATORIAL DISTRICT, EKITI STATE",50000000,5,259,2016-01-01,localGovernment,244,6,2,1
5240,"CHILDREN/YOUTH EDUCATION RIGHTS(TRAINING) UKWA EAST FEDERAL CONSTITUENCY, ABIA STATE",50000000,16,60,,localGovernment,14,1,2,1
5241,"PROVISION OF 15 SOLAR POWER LIGHTS IN OGHEYE - EGHOROKE WARRI NORTH LGA, DELTA STATE",9000000,1,254,,localGovernment,204,1,2,1
5242,"COMPLETION OF REHABILITATION OF ELECTRICITY LINE FROM OGWU IKPELE- OSSOMALA IN OGBARU FEDERAL CONSTITUENCY, ANAMBRA STATE","39,000,000",23,278,2019-06-01,localGovernment,86,2,2,1
5243,PROVISION OF SUPPORT GRANT FOR SME'S TO GWALE FED CONST KANO STATE,1000000,3,2,2017-01-01,localGovernment,1,5,2,1
5244,"INTER TOWN CONNECTION AND DISTRIBUTION/ELECTRIFICATION OF TWO VILLAGES IN YOBE NORTH SENATORIAL
DISTRICT, YOBE STATE",60000000,28,238,1/1/2018,localGovernment,801,1,2,1
5245,"CONSTRUCTION OF TYPE 3 HOSPITAL IN BIRNIN GWARI LGA, KADUNA CENTRAL SENATORIAL DISTRICT, KADUNA STATE.",40000000,4,101,2017-01-01,localGovernment,331,1,2,1
5246,TRAINING AND EMPOWERMENT OF WOMEN AND YOUTHS IN ISUIKWUATO L G A OF ABIA STATE,70000000,3,2,,localGovernment,8,1,2,1
5247,COMMUNITY BASED WATER SUPPLY WITH PUBLIC STAND.TUDUN- WADA SOKOTO STATE,8594444,28,284,2015-01-01,localGovernment,799,1,2,1
5248,"CONSTRUCTION AND FURNISHING OF A BLOCK OF THREE (3) CLASS ROOMS IN JALINGO/YORRO/ZING FED. CONSTITUENCY, TARABA STATE.",16000000,29,254,2017-01-01,localGovernment,728,5,2,1
5249,"SUPPLY OF 1 NO 18 SEATER BUS AND 1 NO HILUX AT IREWOLE FEDERAL CONSTITUENCY, OSUN STATE",20000000,29,254,,localGovernment,608,1,2,1
5250,"SUPPLY OF 100 GENERATING SETS (2,500W) FOR BUSINESS STARTERS IN SURULERE 1 FEDERAL CONSTITUENCY, LAGOS",50000000,23,377,1/1/2018,localGovernment,790,5,2,1
5251,"ENHANCEMENT, PROMOTION AND UPGRADING OF LEARNING CAPACITY AT SCHOOLS IN NJIKOKA LGA, ANAMBRA STATE (NECO/R/CONT/VOL.VI/2564",44764433,10,292,2016-01-01,localGovernment,83,6,2,1
5252,"TRICYCLES FOR YOUTH EMPOWERMENT IN MMC AND JERE IN BORNO CENTRAL SENATORIAL DISTRICT, IN BORNO STATE.",60500000,28,238,,localGovernment,1,1,2,1
5253,"SUPPLY OF TRICYCLE PICKUP (SMALL). SUPPLY OF 500 KVA TRANSFORMER. SUPPLY OF DESKTOP COMPUTERS AND ACCESSORIES FOR SCHOOLS IN WARRI FEDERAL CONSTITUENCY WARRI, DELTA STATE.",73000000,5,321,2017-01-01,localGovernment,204,1,2,1
5254,"TRAINING OF WOMEN AND YOUTHS ON OTHER SUPPORT SERVICES PROGRAMME IN LAFIA LGA, NASARAWA SOUTH SENATORIAL DISTRICT, NASARAWA STATE.",25000000,3,122,2017-01-01,localGovernment,517,1,2,1
5255,"CONSTRUCTION OF STAFF QUARTERS (2 BEDROOM SEMI DATACHED BUNGALOW IN COLLEGE HOSPITAL LAU, TARABA NORTH SENATORIAL DISTRICT, TARABA STATE",35367000,30,1,1/1/2018,localGovernment,722,5,2,1
5256,"YOUTH AND WOMEN EMPOWERMENT ,GRINDING AND SEWING MACHINE IN YAURI/NGASKI/SHANGA,KEBBI STATE",35000000,28,284,2017-01-01,localGovernment,452,5,2,1
5257,"PROVISION AND INSTALLATION OF SOLAR STREET LIGHT IN UGA, AGUATA, ANAMBRA SOUTH SENATORIAL DISTRICT, ANAMBRA STATE",9500000,28,232,2017-01-01,localGovernment,71,1,2,1
5258,"CONSTRUCTION & EQUIPPING OF 8 UNITS HOSPITAL WARDS INTENSIVE CARE UNIT (ICU) IN KEBBI SOUTH SENATORIAL
DISTRICT, KEBBI STATE",90000000,30,316,6/1/2019,localGovernment,787,5,2,1
5259,"""REHABILITATION, FENCING AND
LANDSCAPING OF OBODOUKPAKA, EZEAKPU, ANAMBRA STATE.""","15,000,000",18,45,2019-06-01,localGovernment,770,5,2,1
5260,"CONSTRUCTION OF SKILL ACQUISITION CENTRE WITH PERIMETER FENCE IN ADAZIANI, ANAOCHA LGA, ANAMBRA
CENTRAL SENATORIAL DISTRICT",20000000,18,45,1/1/2018,localGovernment,74,5,2,1
5261,"SUPPLY OF 500KVA TRANSFORMER AT KURIGA WARD, CHIKUN LGA, KADUNA STATE",2916667,22,248,2016-01-01,localGovernment,332,6,2,1
5262,"CONSTRUCTON OF 5 CLASSROOM BLOCK WITH SCIENCE LABORATORY AND STAFF ROOMS  IN JOEROSE
COMMUNITY SECONDARY SCHOOL, OGBA NKPOLOGU, UZO-UWANI LGA, ENUGU NORTH SENATORIAL DISTRICT, ENUGU STATE  .",30000000,28,232,6/1/2019,localGovernment,263,5,2,1
5263,"CONSTRUCTION OF MOTORISED BOREHOLE IN AGBAJA, LOKOJA LGA, KOGI WEST SENATORIAL DISTRICT, KOGI
STATE.",20000000,3,2,6/1/2019,localGovernment,462,5,2,1
5264,"PROVISION OF 21 NOS COMPUTER LAPTOP, ASA ILORIN WEST LG, KWARA STATE",4645200,3,2,2016-01-01,localGovernment,475,1,2,1
5265,"SUPPLY OF FERTILIZERS FOR FARMERS IN
AREWA /DANDI FED CONSTITUENCY, KEBBI STATE",47000000,28,240,6/1/2019,localGovernment,440,5,2,1
5266,"CONSTRUCTION OF 2 CLASSROOMS AND TOILET AT SABO GARI, AFOGO, KAJURU LGA, KADUNA STATE",6416667,10,173,2016-01-01,localGovernment,342,6,2,1
5267,"STRATEGIC EMPOWERMENT OF YOUTH AND WOMEN DEVELOPMENT AT MALAMMADORI/KAUGAMA  FED CONSTITUENCY, JIGAWA STATE.",21800000,29,239,,localGovernment,324,1,2,1
5268,"RURAL ELECTRIFICATION PROJECT IN FARAR HULA COMMUNITY OF DOGUWA
LGA, KANO STATE.",50000000,22,248,6/1/2019,localGovernment,395,5,2,1
5269,"SUPPLY OF EMPOWERMENT EQUIPMENT IN BENDE FEDERAL CONSTITUENCY, ABIA STATE.",150000000,5,230,01/01/2018,localGovernment,4,5,2,1
5270,POST SEASONAL INTERVENTION PROGRAMME IN KAURALGA KADUNA STATE,10000000,3,122,2017-01-01,localGovernment,343,5,2,1
5271,"SUPPLY OF EMPOWERMENT ITEMS FOR WOMEN &YOUTHS, IN ISIALA MBANO/ONUIMO/OKIGWE FEDERAL
CONSTITUENCY, IMO STATE",43000000,29,244,1/1/2018,localGovernment,297,5,2,1
5272,"CONSTRUCTION OF SOLAR STREET LIGHTS IN IREPODUN, OKE ERO, ISIN, EKITI, KWARA SOUTH.",105000000,5,368,2018-01-01,localGovernment,242,5,2,1
5273,"ADVOCACY AND SENSITIZATION ON COMMUNITY CONFLICT EARLY WARMING AND EARLY RESPONSE IN BUNU, KABBA-BUNU LGA, KOGI STATE",13000000,13,180,6/1/2019,localGovernment,463,5,2,1
5274,"PROVISION OF FILM GRANTS TO YOUTH IBADAN SOUTH WEST/NORTHWEST FOR PRODUCTION/EQUIPMENT., OYO STATE",14480000,14,282,2016-01-01,localGovernment,627,1,2,1
5275,"SEWING MACHINE 400 NOS @ 97,000 FOR LOKOJA/KOGI FEDERAL CONSTITUENCY, KOGI STATE",22927860,3,2,,localGovernment,465,1,2,1
5276,"SUPPLY OF TOYOTA HILUX (VAN) TO
KWARE/WAMAKKO FED. CONSTITUENCY, SOKOTO STATE",36000000,28,284,1/1/2018,localGovernment,710,5,2,1
5277,"CONSTRUCTION OF LOCK UP SHOPS AT NKWO IMO MARKET WITH BOREHOLE AND TOILET FACILITY, AMAIMO, IKEDURU LGA, IN
IMO EAST SENATORIAL DISTRICT.",60000000,23,229,1/1/2018,localGovernment,286,5,2,1
5278,"INSTALLATION OF SOLAR STREET LIGHT IN NNEWI NORTH, NNEWI SOUTH AND EKWUSIGO LGAs, ANAMBRA STATE",15000000,32,246,2015-01-01,localGovernment,84,1,2,1
5279,PURCHASE OF MOTOR CYCLES FOR MANI/BINDAWA LGA KATSINA STATE,35000000,26,45,2015-01-01,localGovernment,403,1,2,1
5280,SUPPLY OF TRICYCLES FOR STRATEGIC EMPOWERMENT IN ISIALANGWA NORTH/SOUTH FEDERAL CONSTITUENCY OF ABIA STATE.,50000000,29,122,2019-06-01,localGovernment,6,5,2,1
5281,"COMPLETION OF EROSION CONTROL PROJECT AT UMUHU OWELLI, AWGU LGA,
ENUGU STATE.",60000000,29,244,1/1/2018,localGovernment,780,5,2,1
5282,SUPPLY OF MEDICAL EQUIPMENT/DRUGS IN UKWA EAST/WEST LOCAL GOVERNMENT AREAS OF ABIA STATE.,30000000,29,408,2019-06-01,localGovernment,1,5,2,1
5283,EQUIPPING OF CASSAVA COTTAGE INDUSTRY AT NKPORO NKPORO OHAFIA LGA,15000000,26,257,2015-01-01,localGovernment,10,1,2,1
5284,"COMPLETION OF THE CONSTRUCTION OF PRIMARY HEALTH CENTER (TYPE 2), SUPPLY OF HEALTH EQUIPMENT AND FURNISHING AT OTOLI AWUME IN OHIMINI LGA OF BENUE STATE",35000000,4,75,2016-01-01,localGovernment,136,1,2,1
5285,"PROCUREMENT OF IMPROVED SEEDLINGS ETC, FOR RURAL FARMERS IN NSUKKA/IGBO-EZE SOUTH FEDERAL CONSTITUENCY ENUGU STATE.",13000000,5,351,6/1/2019,localGovernment,261,5,2,1
5286,"COMPLETION OF AMAEKE ISHIAGU
EROSION CONTROL PROJECT, IVO LGA, ENUGU STATE.",30000000,29,244,6/1/2019,localGovernment,265,2,2,1
5287,"CONSTRUCTION OF HUNKUYI NEIGHBOURHOOD AND MARKET CENTER, KADUNA NORTH SENATORIAL DISTRICT, KADUNA STATE",190000000,22,297,2016-01-01,localGovernment,339,6,2,1
5288,"PROVISION OF MOTORCYCLES FOR EMPOWERMENT PROGRAMME IN LAFIA/OBI FEDERAL CONSTITUENCY, NASARAWA STATE",17000000,29,35,,localGovernment,517,1,2,1
5289,"RENOVATION OF ALKALI MIKAILU PRIMARY SCHOOL WITH SUPPLY OF FURNITURE AT GIDAN HAKI AREA OF SOKOTO NORTH LGA, SOKOTO STATE.",10000000,10,173,01/01/2017,localGovernment,804,1,3,1
5290,1 HILUX PATROL CHIKUN LGA KADUNA STATE,12860000,3,122,2016-01-01,localGovernment,332,6,2,1
5291,"SUPPLY OF HOSPITAL EQUIPMENT IN
KADUNA CENTRAL SENATORIAL DISTRICT, KADUNA STATE",35000000,4,75,6/1/2019,localGovernment,784,5,2,1
5292,"SUPPLY OF: 60 UNITS OF SEWING   MACHINES, 60 UNITS OF BARBING SALOON  EQUIPMENT, 60 UNITS OF GRINDING MACHINES, 60 UNITS OF  VULCANIZING MACHINES, 60 UNITS OF WELDING MACHINES, 60 UNITS OF WEAVING & DESIGN MACHINES, TO MUSAWA/ MATAZU, KATSINA STATE.",20000000,29,244,2016-01-01,localGovernment,427,6,2,1
5293,"CONSTRUCTION OF CASSAVA PROCESSING MILL IN NDIOWERRI EKWEREAZU, OGWA IN MBAITOLI , LGA, IMO EAST  SENATORIAL DISTRICT, IMO STATE.",15000000,23,267,2017-01-01,localGovernment,1,1,2,1
5294,EMPOWERMENT TRAINING AND SKILLS ACQUISITION FOR WOMEN AND YOUTHS IN EKITI NORTH II IN EKITI STATE,"20,000,000",5,321,01/06/2019,localGovernment,779,5,2,1
5295,"DRILLING OS 6 NOS MOTORISED BOREHOLES IN PROPOSED COMMUNITIES FOR VEGETATION AND FORESTRY REGENERATION IN DAMATURU AND GULANI FEDERAL CONSTITUENCY, YOBE STATE",72000000,11,259,,localGovernment,731,1,2,1
5296,"CONSTRUCTION OF TWO (2) BLOCKS OF CLASSROOMS IN ARGUNGU LGA, KEBBI
NORTH SENATORIAL DISTRICT, KEBBI STATE",10000000,10,173,1/1/2018,localGovernment,435,5,2,1
5297,"EMPOWERMENT AND TRAINING OF YOUTHS IN OGBARU FEDERAL CONSTITUENCY, ANAMBRA STATE",30000000,30,1,2016-01-01,localGovernment,86,6,2,1
5298,"RENOVATION, EQUIPING AND FURNISHING OF BIDA TOWN HALL WITH SOLAR STREET LIGHT AND MOTORIZED BOREHOLE IN BIDA LGA, NIGER SOUTH SENATORIAL DISTRICT, NIGER STATE.",20000000,5,1,2017-01-01,localGovernment,525,5,2,1
5299,SPECIALIZED ENTREPRENEURSHIP DEVELOPMENT SCHEME AT NASARAWA LGA OF KANO STATE,20000000,3,2,2016-01-01,localGovernment,385,1,2,1
5300,"""PROVISION OF STREET LIGHT AT GASUK - KOSIN, ANDONI-OPOBO/NKORO FEDERAL CONSTITUENCY, RIVERS STATE""",56923077,23,229,2018-01-01,localGovernment,686,5,2,1
5301,PROVISION OF TRICYCLES (55 NOS.) FOR SHIRA/GIADE FED. CONST. BAUCHI STATE.,26000000,28,236,01-01-2015,localGovernment,92,1,2,1
5302,"YOUTH AND WOMEN EMPOWERMENT IN MUNYA LGA, NIGER STATE",10000000,3,122,2017-01-01,localGovernment,540,5,2,1
5303,"SOLAR POWERED BOREHOLE AT ORI-AKPATA, LIMAN WARD, KADUNA NORTH, KADUNA STATE",10500000,23,247,2016-01-01,localGovernment,339,6,2,1
5304,SUPPLY OF SCIENCE EQUIPMENT AND LEARNING MATERIALS TO SELECTED SCHOOLS IN OGOJA/YALA FEDERAL CONSTITUENCY,20000000,10,173,2015-01-01,localGovernment,178,1,2,1
5305,YOUTH AND WOMEN EMPOWERMENT IN GOMBE KWAMI/FUNAKAYE FED. CONSTUENCY OF GOMBE STATE.,33000000,18,78,6/1/2019,localGovernment,275,5,2,1
5306,"CONSTRUCTION OF OKPALA-IGWURITA ROAD, IMO STATE",100000000,20,281,2015-01-01,localGovernment,290,1,2,1
5307,"SOLAR STREET LIGHT AT UKA STREET, OWO, ONDO NORTH, IN ONDO STATE",10000000,18,45,2016-01-01,localGovernment,587,5,2,1
5308,"SUPPLY OF TWO NOS. TOYOTA BUSES 18
SEATES AT KALTUNGO /SHONGOM FEDERAL CONSTITUENCY, GOMBE STATE",87000000,22,296,1/1/2018,localGovernment,272,5,2,1
5309,"PROVISION OF FILM GRANTS FOR  PRODUCTION/ EQUIPMENT TO APA/AGATU FEDERAL CONSTITUENCY, BENUE STATE",47000000,14,282,2017-01-01,localGovernment,120,1,2,1
5310,"COMPLETION OF CATHEDRAL ROAD, NKWOAGU MARKET-FRSC ACADEMY ROAD. UDI LGA, ENUGU STATE.",35000000,28,232,2017-01-01,localGovernment,265,1,2,1
5311,"SOLAR STREET LIGHTS AT VARIOUS LOCATION IN BICHI L.G.A, KANO STATE",20000000,28,236,2016-01-01,localGovernment,358,1,2,1
5312,"FARMING PROJECT, PURCHASE OF 4NOS TRACTOR EQUIPMENT TO ALL 7 LOCAL GOVT AREAS OF BAUCHI NORTH SENATORIAL DISTRICT, BAUCHI STATE.",16000000,18,45,2016-01-01,localGovernment,93,1,2,1
5313,"SUPPLY OF BUSES TO MADAGALI/MICHIKA FED. CONST., ADAMAWA STATE",25000000,29,35,2015-01-01,localGovernment,28,1,2,1
5314,"YOUTH EMPPOWERMENT GRANT IN KATSINA CENTRAL FED CONSTITUENCY,
KATSINA STATE",35000000,3,2,6/1/2019,localGovernment,419,5,2,1
5315,"CONSTRUCTION OF TWO (2) CLASSROOM BLOCK AND TOILET IN PCN PRIMARY SCHOOL BENDEGHE EKIEM, ETUNG L.G.A., CROSS RIVER STATE.",11000000,10,173,2016/01/01,localGovernment,169,1,2,1
5316,PROVISION OF 500KVA TRANSFORMER AT DIFA YAMALTU/DEBA GOMBE STATE,5000000,22,248,,localGovernment,278,1,2,1
5317,"FURNISHING OF 2 CLASSROOMS AT DANKO, KEBBI SOUTH SENATORIAL DISTRICT, KEBBI
STATE",20000000,18,45,1/1/2018,localGovernment,787,5,2,1
5318,"PROVISION OF 102 NOS.SEWING MACHINES IN EKITI SOUTH FEDERAL CONSTITIUENCY II, GBONYIN/EMURE/EKITI EAST LGA, EKITI STATE:",3502000,3,122,2017-01-01,localGovernment,248,5,2,1
